gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC01029	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01896	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SALL3	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC00906	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01532	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
UQCRFS1-DT	Tumor-gain LOCKs	common PMDs	-0.705416582238707	NE2_KYSE510.T	KYSE510	-0.705416582238707
VSTM2B-DT	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
VSTM2B	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
ZNF536	Tumor-gain LOCKs	common PMDs	-0.985922777395235	NE2_KYSE510.T	KYSE510	-0.985922777395235
LINC01834	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
