gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
MS4A3	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02705	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A6A	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A4E	Tumor-loss LOCKs	common PMDs	-0.966795483229416	NE2_KYSE450.T	KYSE450	-0.966795483229416
MIR6503	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A4A	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A6E	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A7	Tumor-gain LOCKs	common PMDs	-0.975856583175669	NE2_KYSE450.T	KYSE450	-0.975856583175669
MS4A14	Shared LOCKs	common PMDs	-0.986560248555742	NE2_KYSE450.T	KYSE450	-0.986560248555742
MS4A5	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A1	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A12	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MS4A13	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC00301	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
SCGB2A1	Shared LOCKs	common PMDs	-0.837916933921331	NE2_KYSE450.T	KYSE450	-0.837916933921331
